player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Nadiem Amiri,Germany,MF,29,Mainz 05,2,42.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.142857142857143,0.0,0.0,26-30
Nathaniel Brown,Germany,DF,22,Frankfurt,3,282.0,1.0,1.0,0.0,0.0,3.0,2.0,0.33,0.5,94.0,4.0,1.0,0.0,17.0,2.0,6.0,0.3191489361702128,0.3191489361702128,0.0,0.0,21-25
Nick Woltemade,Germany,FW,24,Newcastle,1,33.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21-25
Nico Schlotterbeck,Germany,DF,26,Dortmund,2,135.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,68.0,2.0,1.0,0.0,0.0,3.0,2.0,0.6666666666666667,0.0,0.0,0.0,26-30
Pascal Groß,Germany,DF,34,Brighton,1,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,18.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,31-35
Waldemar Anton,Germany,DF,29,Dortmund,2,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,26-30
Abdul Fatawu Issahaku,Ghana,FW,22,Leicester City,4,132.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,,33.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.6818181818181819,0.6818181818181819,21-25
Abdul Rahman Baba,Ghana,DF,31,PAOK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31-35
Alidu Seidu,Ghana,DF,26,Rennes,1,78.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,78.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.1538461538461537,1.1538461538461537,26-30
Antoine Semenyo,Ghana,MF,26,Manchester City,4,360.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,90.0,6.0,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,26-30
Benjamin Asare,Ghana,GK,33,Unattached,3,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31-35
Brandon Thomas-Asante,Ghana,FW,27,Coventry City,2,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Caleb Yirenkyi,Ghana,MF,20,Nordsjælland,4,264.0,1.0,0.0,2.0,0.0,2.0,1.0,0.5,1.0,66.0,7.0,3.0,0.0,1.0,3.0,1.0,0.34090909090909094,0.0,0.6818181818181819,0.6818181818181819,16-20
Derrick Luckassen,Ghana,DF,30,Unattached,2,180.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,26-30
Elisha Owusu,Ghana,MF,28,Auxerre,3,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,26-30
Ernest Nuamah,Ghana,MF,22,Lyon,3,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,30.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0112359550561798,0.0,0.0,21-25
Gideon Mensah,Ghana,DF,27,Auxerre,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,2.0,3.0,0.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,26-30
Iñaki Williams,Ghana,MF,31,Athletic Club,2,126.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,,63.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.7142857142857142,0.7142857142857142,31-35
Jerome Opoku,Ghana,DF,27,Başakşehir,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,26-30
Jonas Adjetey,Ghana,DF,22,Wolfsburg,3,225.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,21-25
Jordan Ayew,Ghana,FW,34,Leicester City,4,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.0,7.0,7.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,31-35
Kamaldeen Sulemana,Ghana,MF,24,Atlanta Utd,2,127.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,64.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,21-25
Kojo Peprah Oppong,Ghana,DF,22,Nice,2,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8367346938775508,1.8367346938775508,21-25
Kwasi Sibo,Ghana,MF,27,Oviedo,4,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26-30
Lawrence Ati-Zigi,Ghana,GK,29,St. Gallen,2,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Marvin Senaya,Ghana,DF,25,Auxerre,4,278.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,70.0,6.0,4.0,0.0,8.0,6.0,12.0,0.0,0.0,0.0,0.0,21-25
Prince Kwabena Adu,Ghana,FW,22,Viktoria Plzeň,3,39.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Thomas Partey,Ghana,MF,33,Villarreal,3,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,90.0,2.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,31-35
